LULC_code,nir,red,blue,green,emad,smad,bcmad,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,evi,savi,ndwi,mci,ndci,nbi,y,x
2,0.3858,0.0588,0.0509,0.0765,0.12145149,5.52E-07,5.88E-06,0.4056,0.3815,0.2382,0.1466,0.0454,0.1502,0.3245,0.389,-0.513822688,-0.130820399,-0.057113188,0.735492578,0.667501935,0.735492578,-0.669046074,2.568575233,0.437320574,-0.236538462,-2399525,3868805
2,0.2855,0.0679,0.0421,0.0656,0.12522745,6.88E-07,9.35E-06,0.2975,0.3178,0.2094,0.1414,0.0313,0.1141,0.2324,0.2713,-0.522909091,0.017228464,-0.147138965,0.615732881,0.468975783,0.615732881,-0.626317289,2.50219106,0.253846154,-0.153768438,-2397295,3863235
6,0.315,0.0724,0.0477,0.0811,0.17306437,1.43E-06,1.07E-05,0.3507,0.3722,0.2541,0.1615,0.0469,0.1607,0.2926,0.3265,-0.516109785,-0.056677524,-0.00845666,0.626226123,0.513850465,0.626226123,-0.590507448,1.960174238,0.378807379,-0.10701107,-2386385,3857815
6,0.2737,0.0956,0.0546,0.0888,0.20145693,1.25E-06,1.03E-05,0.3127,0.3413,0.2468,0.1575,0.0593,0.1542,0.2588,0.2931,-0.47079857,0.036876356,0.041264267,0.482263742,0.40941021,0.482263742,-0.510068966,1.774967575,0.23458767,-0.051681076,-2386325,3857855
3,0.4162,0.0352,0.0325,0.0631,0.16205336,1.34E-07,7.31E-06,0.4539,0.4527,0.2147,0.106,0.0304,0.1096,0.3434,0.4227,-0.545716343,-0.283825025,-0.033386328,0.844040762,0.726556571,0.844040762,-0.736699353,3.797445255,0.513812155,-0.319385006,-2386545,3858065
3,0.3111,0.044,0.0377,0.0616,0.13416636,3.35E-07,8.24E-06,0.3719,0.3918,0.189,0.1021,0.037,0.1102,0.2869,0.3439,-0.508379888,-0.166666667,-0.009370817,0.752182484,0.567764151,0.752182484,-0.669439227,2.823049002,0.429312581,-0.24415117,-2386675,3858415
2,0.3661,0.0382,0.0336,0.056,0.08281409,9.99E-08,5.06E-06,0.4072,0.3857,0.1766,0.0866,0.0308,0.0915,0.3002,0.3761,-0.518486672,-0.18895966,-0.043478261,0.811031412,0.65290702,0.811031412,-0.734660033,4.001092896,0.410948342,-0.349180026,-2386335,3858605
2,0.3556,0.0367,0.0335,0.0577,0.09296448,9.53E-08,6.42E-06,0.3919,0.4143,0.1791,0.0885,0.036,0.0911,0.2911,0.3614,-0.512668919,-0.222457627,0.035971223,0.812898292,0.643463818,0.812898292,-0.720783934,3.903402854,0.425665102,-0.33009164,-2385945,3858715
6,0.4036,0.2105,0.1688,0.2094,0.1068575,3.10E-07,4.39E-06,0.419,0.4312,0.2979,0.2089,0.1321,0.2528,0.3614,0.4006,-0.174452986,0.002619671,-0.121967431,0.314443902,0.570112809,0.314443902,-0.31680261,1.596518987,0.091301532,-0.15067712,-2385365,3858535
6,0.4237,0.2683,0.2038,0.2502,0.10558679,1.62E-07,3.88E-06,0.4708,0.4475,0.3773,0.2776,0.1439,0.3313,0.4094,0.4404,-0.202549801,0.03490839,-0.17227495,0.224566474,0.525548173,0.224566474,-0.257456596,1.278901298,0.105070047,-0.057927591,-2385345,3858565
6,0.392,0.0503,0.0398,0.0627,0.15299186,3.15E-07,7.91E-06,0.4449,0.4272,0.2261,0.1178,0.05,0.127,0.3382,0.4083,-0.565789474,-0.109734513,0.113585746,0.772552566,0.666308321,0.772552566,-0.724213767,3.086614173,0.432600113,-0.268403171,-2385455,3858635
6,0.5146,0.4308,0.2885,0.3559,0.110483006,1.92E-07,3.06E-06,0.4972,0.3331,0.348,0.223,0.1752,0.4613,0.4613,0.482,0.011223185,0.09520783,-0.244339012,0.088639729,0.442073722,0.088639729,-0.182309018,1.115543031,0.034188992,-0.193137028,-2385335,3858505
6,0.4204,0.255,0.1735,0.2305,0.10206708,2.53E-07,3.99E-06,0.4726,0.3018,0.4334,0.2771,0.1677,0.3601,0.4018,0.4244,-0.305618316,0.05046344,-0.016998828,0.244891916,0.482672892,0.244891916,-0.291749885,1.167453485,0.170866526,0.015226048,-2385475,3858415
