LULC_code,nir,red,blue,green,emad,smad,bcmad,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,evi,savi,ndwi,mci,ndci,nbi,y,x
4,0.2433,0.0274,0.0285,0.0498,0.04732908,1.71E-07,4.45E-06,0.2841,0.2255,0.0717,0.0301,0.0373,0.0892,0.2255,0.2609,-0.180246914,-0.29015544,0.133738602,0.797561877,0.486494409,0.797561877,-0.660184237,2.727578475,0.530017153,-0.544761905,-2394055,3879415
6,0.282,0.204,0.14,0.1759,0.1577326,1.78E-07,8.73E-06,0.2778,0.184,0.2798,0.2384,0.0867,0.2217,0.2523,0.2679,-0.228000878,0.073966833,-0.235112483,0.160493827,0.344093407,0.160493827,-0.23170998,1.271989175,0.041578576,-0.003915984,-2393055,3879095
5,0.2671,0.1019,0.0789,0.1,0.11111744,3.65E-07,7.73E-06,0.262,0.2494,0.254,0.2119,0.1068,0.167,0.2261,0.2501,-0.435028249,0.009410599,0.150242326,0.447696477,0.439751311,0.447696477,-0.455189322,1.599401198,0.242097434,-0.025139129,-2393075,3879035
12,0.4244,0.0718,0.0587,0.0985,0.1699502,6.63E-07,9.25E-06,0.3973,0.441,0.2399,0.1499,0.0644,0.1694,0.3262,0.3746,-0.4178487,-0.156782149,0.046303818,0.710600564,0.699105975,0.710600564,-0.623254924,2.505312869,0.404643449,-0.277735963,-2393375,3878035
6,0.3011,0.1381,0.1051,0.1413,0.1760262,7.80E-07,9.44E-06,0.3958,0.4383,0.2383,0.1491,0.064,0.1684,0.3248,0.3731,-0.255532139,-0.011453114,-0.243051449,0.371129326,0.458198218,0.371129326,-0.361211573,1.788004751,0.098858075,-0.116425658,-2393365,3878015
3,0.4366,0.0792,0.0679,0.1066,0.13138235,3.48E-07,6.62E-06,0.4102,0.3392,0.2587,0.1992,0.0851,0.1702,0.3245,0.3754,-0.416370107,-0.147470398,0.112418301,0.692904226,0.7217568,0.692904226,-0.607511046,2.565217391,0.364875702,-0.25586078,-2393365,3877775
1,0.4028,0.0321,0.0323,0.0526,0.12300505,1.55E-07,7.92E-06,0.4133,0.4233,0.1641,0.0793,0.0475,0.0824,0.2953,0.3869,-0.514536225,-0.242030697,0.19047619,0.852379857,0.720467058,0.852379857,-0.768994291,4.888349515,0.43930131,-0.421061916,-2393345,3877425
1,0.4932,0.0341,0.0364,0.0601,0.09166823,1.21E-07,4.42E-06,0.4869,0.4549,0.1928,0.0947,0.055,0.1019,0.3642,0.4606,-0.524713325,-0.276008493,0.203501094,0.870661862,0.841451432,0.870661862,-0.782757997,4.840039254,0.498529412,-0.437900875,-2393345,3877285
5,0.2883,0.1347,0.0985,0.1243,0.09339265,2.79E-07,4.91E-06,0.2804,0.3061,0.2783,0.2361,0.1018,0.1818,0.2383,0.2641,-0.382513661,0.04015444,0.016475287,0.363120567,0.431633217,0.363120567,-0.397479399,1.585808581,0.148815166,-0.017649135,-2393815,3872245
3,0.3268,0.1178,0.0761,0.1143,0.12896267,3.47E-07,6.71E-06,0.3587,0.3345,0.3134,0.213,0.0931,0.1826,0.2967,0.3368,-0.46551321,0.015079707,0.100472813,0.47008547,0.477971084,0.47008547,-0.48175017,1.789704272,0.215712383,-0.020930959,-2393565,3872365
5,0.254,0.1011,0.1351,0.0993,0.111870445,3.83E-07,6.05E-06,0.3331,0.3424,0.2897,0.322,0.1247,0.1541,0.1701,0.1907,-0.489460154,0.008982036,-0.040030793,0.430582934,0.63008202,0.430582934,-0.437871497,1.648280337,0.207680251,0.06566121,-2393325,3872805
5,0.3906,0.334,0.3031,0.3312,0.293288,3.80E-07,9.82E-06,0.414,0.3567,0.389,0.3307,0.1358,0.3702,0.4052,0.4073,-0.080255485,0.00420926,-0.381180223,0.078112062,0.572970081,0.078112062,-0.082294264,1.055105348,0.051405851,-0.002052335,-2393125,3872955
3,0.393,0.0915,0.0636,0.1041,0.10858252,6.58E-07,5.96E-06,0.4139,0.3423,0.2931,0.1932,0.0768,0.1648,0.327,0.3826,-0.475830816,-0.064417178,0.094017094,0.622291022,0.608191126,0.622291022,-0.581170791,2.384708738,0.285992977,-0.145605597,-2392955,3873085
3,0.3733,0.0865,0.0628,0.0998,0.10760495,3.71E-07,5.77E-06,0.3942,0.3771,0.3148,0.1839,0.065,0.1586,0.3077,0.3555,-0.518572118,-0.071390231,0.017214397,0.623749456,0.595757405,0.623749456,-0.578101881,2.35372005,0.294165647,-0.085016713,-2392715,3873355
3,0.286,0.1008,0.063,0.0957,0.095802486,5.37E-07,4.99E-06,0.3237,0.3095,0.3211,0.2103,0.0636,0.1622,0.2605,0.2965,-0.540786948,0.025954198,0.004739336,0.478800414,0.433053656,0.478800414,-0.498559078,1.76325524,0.233460076,0.057815846,-2392395,3873485
3,0.369,0.0586,0.0399,0.0784,0.08241231,1.97E-07,5.22E-06,0.394,0.323,0.2599,0.1593,0.0474,0.1477,0.3128,0.362,-0.53650606,-0.144525547,0.085910653,0.725912067,0.607802441,0.725912067,-0.649530621,2.49830738,0.431895298,-0.1734775,-2392225,3873765
5,0.2655,0.2329,0.0948,0.1188,0.09832832,8.96E-08,6.32E-06,0.238,0.2674,0.3463,0.3289,0.0887,0.2224,0.2463,0.2398,-0.48914212,0.324424225,-0.033242507,0.06540931,0.220733644,0.06540931,-0.381733021,1.193794964,-0.023061718,0.132069304,-2392345,3873925
5,0.28,0.2674,0.0973,0.112,0.11880467,1.57E-07,5.55E-06,0.2704,0.2768,0.3774,0.3846,0.1287,0.2792,0.2903,0.2904,-0.54229669,0.409594096,0.138938053,0.023017903,0.200775068,0.023017903,-0.428571429,1.00286533,0.021587999,0.148159416,-2392325,3874025
5,0.1975,0.1298,0.041,0.0523,0.10377059,1.12E-07,6.43E-06,0.2209,0.3091,0.3962,0.3302,0.0463,0.1681,0.2318,0.2293,-0.766778149,0.425590335,0.060710195,0.206843874,0.218090844,0.206843874,-0.581265012,1.174895895,0.128566633,0.334680815,-2392155,3873855
3,0.4214,0.0684,0.0481,0.0945,0.06663585,1.42E-07,3.43E-06,0.4354,0.4352,0.3038,0.1618,0.0404,0.1522,0.3503,0.4029,-0.525483304,-0.160220994,-0.08700565,0.720702327,0.669657727,0.720702327,-0.633649932,2.768725361,0.379873073,-0.162162162,-2392195,3873955
6,0.3001,0.239,0.1673,0.2103,0.19372265,3.24E-07,1.02E-05,0.3197,0.3204,0.3584,0.3009,0.1464,0.2708,0.2921,0.305,-0.260418498,0.063877142,-0.066624163,0.113337043,0.345590969,0.113337043,-0.175940439,1.108197932,0.062377403,0.088534548,-2392275,3874215
3,0.4374,0.0611,0.05,0.0863,0.08790426,2.78E-07,5.11E-06,0.457,0.3711,0.2354,0.1354,0.0598,0.1447,0.3581,0.4302,-0.463475288,-0.170963365,0.089253188,0.754864594,0.722463261,0.754864594,-0.670421997,3.022805805,0.406219631,-0.300237812,-2392805,3874885
7,0.0524,0.0609,0.0931,0.1162,0.075644165,2.20E-06,1.16E-05,0.0732,0.1791,0.0858,0.0702,0.1224,0.0632,0.0634,0.0667,0.15049505,-0.312252964,0.135962877,-0.075022065,0.097422,-0.075022065,0.378410439,0.829113924,0.018533441,0.241678726,-2393045,3875595
3,0.2889,0.0795,0.0569,0.0882,0.14910743,4.24E-07,9.80E-06,0.3175,0.3305,0.2608,0.1567,0.0601,0.1376,0.2599,0.2929,-0.494555874,-0.051878354,0.027350427,0.568403909,0.479968637,0.568403909,-0.53221957,2.099563953,0.267618609,-0.051118792,-2393315,3876395
7,0.05,0.0604,0.1361,0.1521,0.07973966,7.11E-07,9.48E-06,0.089,0.2846,0.107,0.0801,0.1334,0.0678,0.0743,0.0798,0.174064068,-0.431529412,-0.010018553,-0.094202899,0.164943189,-0.094202899,0.505195448,0.737463127,0.057722309,0.363057325,-2393215,3876505
5,0.3224,0.1819,0.1268,0.169,0.10052203,2.72E-07,5.33E-06,0.3121,0.2901,0.3094,0.2625,0.1443,0.2116,0.2547,0.281,-0.293478261,0.03676261,0.064551826,0.278604006,0.426647525,0.278604006,-0.312169312,1.52362949,0.075476493,-0.020576132,-2392505,3873915
2,0.2145,0.0736,0.0496,0.0687,0.14911938,7.32E-07,1.34E-05,0.2187,0.3245,0.1838,0.123,0.0587,0.1056,0.1732,0.1972,-0.455841584,0.034434294,0.084025854,0.489066296,0.360291255,0.489066296,-0.514830508,2.03125,0.178571429,-0.07707758,-2400425,3878085
2,0.193,0.0731,0.0445,0.066,0.11679382,4.42E-07,9.06E-06,0.2402,0.3245,0.2076,0.1466,0.0538,0.1327,0.2104,0.232,-0.51754386,0.051042416,0.094608342,0.450582488,0.315444774,0.450582488,-0.49034749,1.45440844,0.289601555,0.036445332,-2400455,3878075
3,0.4999,0.0381,0.0365,0.0708,0.16698152,1.99E-07,8.93E-06,0.4354,0.3162,0.22,0.1257,0.0499,0.128,0.3397,0.4099,-0.5130674,-0.300275482,0.155092593,0.858364312,0.83289225,0.858364312,-0.751883652,3.90546875,0.541240217,-0.388804001,-2400375,3878135
3,0.3679,0.0948,0.0692,0.1101,0.15064034,3.69E-07,8.59E-06,0.336,0.2765,0.2613,0.1696,0.0558,0.1549,0.278,0.3125,-0.407108239,-0.074670571,-0.1072,0.590231251,0.581893207,0.590231251,-0.539330544,2.375080697,0.240688827,-0.169421488,-2400455,3878135
3,0.4202,0.0807,0.0549,0.1036,0.1281839,1.44E-07,6.06E-06,0.4472,0.3672,0.2788,0.1677,0.0475,0.1673,0.3584,0.4179,-0.458158996,-0.124253934,-0.072265625,0.677779996,0.649716946,0.677779996,-0.604429171,2.511655708,0.349193548,-0.202288984,-2400495,3878145
3,0.4283,0.0622,0.0522,0.0958,0.13203569,1.10E-07,6.42E-06,0.4439,0.4375,0.2751,0.1419,0.0476,0.1511,0.3598,0.4154,-0.483418711,-0.212658228,-0.046092184,0.746381244,0.715283688,0.746381244,-0.634420912,2.834546658,0.416783872,-0.217799261,-2400255,3877555
3,0.3938,0.0728,0.0561,0.0953,0.09910397,1.55E-07,4.94E-06,0.4155,0.3977,0.2703,0.1509,0.043,0.149,0.3327,0.3878,-0.478665208,-0.133848899,-0.132189707,0.687955422,0.646664539,0.687955422,-0.610304641,2.64295302,0.34355275,-0.185965969,-2400205,3877555
4,0.3468,0.028,0.0294,0.0488,0.09398442,7.57E-08,7.17E-06,0.3713,0.39,0.1375,0.061,0.0297,0.0832,0.2778,0.3422,-0.476113795,-0.270833333,0.005076142,0.85058698,0.648226841,0.85058698,-0.753286148,4.168269231,0.496402878,-0.432170142,-2400105,3877605
4,0.3427,0.0245,0.0273,0.0476,0.103688635,7.44E-08,8.06E-06,0.3678,0.3791,0.1057,0.042,0.0279,0.085,0.2816,0.342,-0.378995434,-0.32038835,0.010869565,0.866557734,0.647690572,0.866557734,-0.756085063,4.031764706,0.552511416,-0.528545941,-2399965,3877535
4,0.3556,0.0227,0.0235,0.0435,0.10136978,1.49E-07,7.71E-06,0.3734,0.2568,0.0926,0.0371,0.0405,0.0766,0.2778,0.3434,-0.360764144,-0.314199396,0.265625,0.879989426,0.658507848,0.879989426,-0.782009521,4.64229765,0.542799597,-0.586791611,-2399925,3877695
4,0.3635,0.0241,0.0269,0.0523,0.06435138,6.42E-08,4.62E-06,0.3797,0.3682,0.1027,0.0383,0.0244,0.0911,0.2975,0.353,-0.32516129,-0.369109948,-0.048732943,0.875644995,0.677192177,0.875644995,-0.748436748,3.990120746,0.581597222,-0.559416559,-2400015,3877915
1,0.3088,0.0403,0.0361,0.0583,0.1589887,3.92E-07,9.72E-06,0.3935,0.4625,0.1902,0.0927,0.0384,0.1073,0.3074,0.3669,-0.530784708,-0.182555781,0.030872483,0.769120596,0.571707622,0.769120596,-0.682375375,2.877912395,0.453929539,-0.237675351,-2400445,3877455
1,0.299,0.0384,0.0344,0.0561,0.14336316,3.31E-07,9.28E-06,0.378,0.4139,0.1813,0.0898,0.0362,0.1044,0.2919,0.3477,-0.527379949,-0.187301587,0.025495751,0.772377001,0.557731634,0.772377001,-0.684032667,2.863984674,0.462184874,-0.245055174,-2400565,3877425
1,0.39,0.0401,0.0337,0.0592,0.16760005,1.39E-07,8.68E-06,0.4214,0.4236,0.1786,0.0844,0.0396,0.097,0.3124,0.3927,-0.502102607,-0.192346425,0.080491132,0.813531737,0.678520884,0.813531737,-0.736420303,4.020618557,0.415025529,-0.371790362,-2400235,3877355
3,0.4575,0.0747,0.0607,0.1054,0.12697381,2.00E-07,6.24E-06,0.4729,0.3847,0.2969,0.1649,0.1012,0.1635,0.3827,0.4445,-0.476012926,-0.170460855,0.250154416,0.719278467,0.737047123,0.719278467,-0.625510748,2.798165138,0.37279597,-0.212884411,-2399955,3876905
3,0.445,0.051,0.0396,0.0721,0.1347308,2.97E-07,6.60E-06,0.4192,0.3244,0.2396,0.1414,0.0616,0.123,0.33,0.3957,-0.537375682,-0.171405361,0.217391304,0.794354839,0.730055021,0.794354839,-0.721137111,3.617886179,0.413793103,-0.300029214,-2399785,3876655
3,0.4305,0.0368,0.0339,0.0668,0.15993322,2.19E-07,7.16E-06,0.4448,0.4557,0.2034,0.1012,0.0308,0.1016,0.3412,0.4122,-0.505551443,-0.28957529,-0.047913447,0.842499465,0.744032068,0.842499465,-0.731349286,4.237204724,0.468208092,-0.3582584,-2399825,3876625
3,0.4831,0.0502,0.0423,0.0792,0.11635957,2.12E-07,5.73E-06,0.4481,0.423,0.2244,0.1177,0.0545,0.1063,0.3367,0.4111,-0.47826087,-0.224111283,0.126033058,0.811738234,0.789032412,0.811738234,-0.71829984,4.544684854,0.358466454,-0.36565371,-2399755,3876605
3,0.3767,0.0728,0.0519,0.0961,0.10394611,4.76E-07,5.79E-06,0.3725,0.371,0.2791,0.1735,0.0442,0.1605,0.3024,0.3491,-0.487739872,-0.137951451,-0.08012487,0.676084538,0.610110585,0.676084538,-0.593485618,2.347040498,0.375910844,-0.148825862,-2398775,3873745
2,0.2839,0.0619,0.0449,0.07,0.17826533,8.74E-07,1.25E-05,0.3001,0.3451,0.2206,0.1412,0.0446,0.1133,0.2449,0.2819,-0.518238128,-0.061410159,-0.003351955,0.641989589,0.491335179,0.641989589,-0.604408025,2.505736981,0.293378995,-0.125470763,-2398875,3874325
5,0.2544,0.0722,0.0617,0.0855,0.12000113,3.49E-07,8.18E-06,0.2956,0.3484,0.2365,0.1253,0.0589,0.1238,0.2373,0.2736,-0.468944099,-0.084337349,-0.023217247,0.557868953,0.460301261,0.557868953,-0.496910856,2.054927302,0.263265306,-0.036463638,-2399045,3874995
2,0.2741,0.0659,0.0416,0.0649,0.14560391,3.13E-07,8.90E-06,0.2827,0.3039,0.2128,0.1387,0.0493,0.1317,0.228,0.2638,-0.532589125,0.00764526,0.084708471,0.612352941,0.456243094,0.612352941,-0.617109145,2.081245254,0.332995951,-0.125898542,-2398715,3873475
3,0.3294,0.0931,0.0728,0.0952,0.1609637,6.01E-07,8.52E-06,0.3392,0.3071,0.2224,0.1485,0.0365,0.13,0.2585,0.3208,-0.400503778,-0.011152416,-0.332113449,0.559289941,0.544262295,0.559289941,-0.551577956,2.533846154,0.165396683,-0.193910837,-2398785,3873475
6,0.309,0.1198,0.0771,0.1094,0.11792033,4.92E-07,8.50E-06,0.3132,0.3004,0.2487,0.18,0.0511,0.1591,0.2551,0.2924,-0.388997487,0.045375218,-0.202808112,0.441231343,0.450277672,0.441231343,-0.477055449,1.942174733,0.140910721,-0.108122647,-2398745,3873445
5,0.2937,0.1111,0.0709,0.1098,0.12416102,2.36E-07,8.83E-06,0.3235,0.3264,0.2444,0.1743,0.0483,0.1612,0.2567,0.3052,-0.380011293,0.005885016,-0.189597315,0.451086957,0.436211543,0.451086957,-0.455762082,1.821960298,0.183988248,-0.091618658,-2398725,3873355
5,0.2699,0.0549,0.0608,0.0655,0.07938354,2.54E-07,5.76E-06,0.3044,0.3239,0.2229,0.1425,0.0507,0.1077,0.2128,0.2798,-0.545769764,-0.088039867,-0.09058296,0.661945813,0.542158664,0.661945813,-0.609421586,2.506035283,0.324723247,-0.095373377,-2398745,3873305
3,0.4069,0.0699,0.0457,0.0861,0.074552186,1.75E-07,3.61E-06,0.4408,0.4268,0.2784,0.1496,0.0351,0.1569,0.3502,0.4065,-0.527572016,-0.103846154,-0.131188119,0.706795302,0.638569647,0.706795302,-0.650709939,2.593371574,0.383597884,-0.18750912,-2398655,3872705
3,0.3493,0.1008,0.0716,0.1081,0.10588652,1.36E-07,5.66E-06,0.3628,0.3524,0.2568,0.1658,0.0747,0.1427,0.2886,0.332,-0.407508907,-0.03494495,0.021189337,0.552099533,0.545092089,0.552099533,-0.527328378,2.447792572,0.172073922,-0.15261508,-2397385,3868795
3,0.3769,0.084,0.0543,0.0984,0.11310997,2.80E-07,6.91E-06,0.3456,0.3557,0.2898,0.2124,0.05,0.1836,0.289,0.3201,-0.493044822,-0.078947368,-0.041227229,0.635495769,0.582397449,0.635495769,-0.585945718,2.052832244,0.372197309,-0.130643468,-2397455,3868845
5,0.2601,0.1805,0.1316,0.1591,0.053684894,1.09E-07,2.85E-06,0.3079,0.3789,0.2745,0.206,0.1241,0.2078,0.2688,0.2896,-0.266143911,0.063015312,-0.029331248,0.180662733,0.346397758,0.180662733,-0.240935115,1.251684312,0.070306464,0.026936027,-2397415,3868835
3,0.3483,0.0562,0.0385,0.0759,0.09666682,1.23E-07,6.18E-06,0.368,0.3462,0.2368,0.1316,0.032,0.1306,0.2912,0.338,-0.514550688,-0.149129447,-0.092198582,0.722126082,0.583175228,0.722126082,-0.642149929,2.666921899,0.398286938,-0.190565715,-2397585,3869515
3,0.3886,0.0658,0.0502,0.0791,0.318806,1.98E-06,1.58E-05,0.4037,0.4019,0.2106,0.129,0.0435,0.119,0.3101,0.3821,-0.453917846,-0.09178744,-0.071504803,0.710387324,0.643755775,0.710387324,-0.661748984,3.265546218,0.287878788,-0.29706275,-2396865,3869315
7,0.0917,0.0701,0.0596,0.0764,0.090387285,1.89E-06,1.34E-05,0.0802,0.1419,0.0531,0.0425,0.0396,0.0776,0.0762,0.085,0.17992278,-0.043003413,-0.201612903,0.133498146,0.149394537,0.133498146,-0.091017252,1.181701031,0.050778605,-0.266574586,-2390855,3870695
5,0.2591,0.1413,0.0971,0.1281,0.10361961,2.39E-07,6.88E-06,0.2801,0.2162,0.2266,0.185,0.0474,0.1875,0.2428,0.2733,-0.277699464,0.048997773,-0.343944637,0.294205794,0.36735212,0.294205794,-0.338326446,1.381866667,0.140510949,-0.066913733,-2390755,3870655
4,0.2268,0.0224,0.0214,0.0359,0.06404379,3.57E-07,7.12E-06,0.2096,0.1958,0.0566,0.029,0.0275,0.0658,0.1635,0.2005,-0.223783784,-0.231560892,0.124744376,0.820224719,0.453568752,0.820224719,-0.726684431,3.446808511,0.492063492,-0.600564573,-2390735,3870535
6,0.1616,0.0665,0.0503,0.0681,0.11596076,7.30E-07,1.12E-05,0.1915,0.1514,0.1294,0.0852,0.0637,0.0995,0.1576,0.179,-0.310379747,-0.011887073,0.11754386,0.416922402,0.285207251,0.416922402,-0.407052677,1.624120603,0.198795181,-0.110652921,-2390675,3870635
6,0.3295,0.0909,0.0683,0.0956,0.1960143,6.29E-07,1.21E-05,0.329,0.2517,0.1746,0.105,0.0613,0.1467,0.2687,0.3097,-0.292376018,-0.025201072,-0.054012346,0.56755471,0.537812351,0.56755471,-0.550223477,2.246080436,0.234848485,-0.307280302,-2390595,3870545
3,0.3413,0.0658,0.0553,0.08,0.18288314,1.04E-06,1.16E-05,0.3314,0.2545,0.1805,0.1099,0.0664,0.1534,0.2713,0.3118,-0.385796545,-0.09739369,0.091207888,0.676737902,0.595943543,0.676737902,-0.620223119,2.224902216,0.399635036,-0.308164048,-2390595,3870535
6,0.2036,0.0877,0.0723,0.0939,0.17357235,1.17E-06,1.16E-05,0.2684,0.2503,0.1645,0.1063,0.0558,0.1756,0.2247,0.2579,-0.273219814,-0.034140969,-0.128805621,0.39787161,0.35476401,0.39787161,-0.368739496,1.159453303,0.333839727,-0.106221136,-2390555,3870545
4,0.2332,0.0774,0.0532,0.0793,0.094360255,3.79E-07,8.05E-06,0.2416,0.1531,0.1097,0.0668,0.0468,0.1258,0.2043,0.2268,-0.160846561,-0.01212508,-0.064,0.501609788,0.389342369,0.501609788,-0.49248,1.853736089,0.238188976,-0.360163313,-2390535,3870525
4,0.2646,0.0488,0.048,0.0622,0.10937849,7.21E-07,1.04E-05,0.2941,0.2083,0.0949,0.0548,0.0475,0.0861,0.2128,0.2736,-0.208147677,-0.120720721,-0.005235602,0.688576899,0.511691999,0.688576899,-0.619339045,3.073170732,0.276501112,-0.472044506,-2390275,3870135
6,0.2608,0.1755,0.1087,0.1534,0.19693793,5.66E-07,1.33E-05,0.2407,0.1745,0.1658,0.1076,0.0571,0.196,0.2191,0.2295,-0.038847118,0.067193676,-0.311218335,0.195507678,0.317974042,0.195507678,-0.259295027,1.330612245,0.055181696,-0.222691045,-2390405,3870255
3,0.2334,0.0736,0.0583,0.0768,0.09826921,7.33E-07,8.17E-06,0.2664,0.2566,0.1669,0.1161,0.0585,0.1194,0.2121,0.2555,-0.369716865,-0.021276596,0.001712329,0.520521173,0.41195718,0.520521173,-0.50483559,1.954773869,0.237305699,-0.166125406,-2390855,3870725
6,0.3012,0.13,0.0866,0.116,0.093913294,4.14E-07,5.47E-06,0.2939,0.2567,0.2316,0.1665,0.0548,0.1629,0.2288,0.2698,-0.332566168,0.056910569,-0.224893918,0.39703154,0.435147028,0.39703154,-0.443911793,1.848987109,0.112325026,-0.130630631,-2390845,3870755
1,0.2793,0.1041,0.0727,0.0996,0.09034309,3.38E-07,6.67E-06,0.2943,0.196,0.2138,0.1557,0.0632,0.1519,0.2343,0.2619,-0.364390555,0.022091311,-0.069904341,0.456964006,0.437309094,0.456964006,-0.474267617,1.838709677,0.18671875,-0.132833097,-2390855,3870765
1,0.2853,0.12,0.0787,0.104,0.090383545,3.32E-07,4.62E-06,0.324,0.2553,0.2294,0.1617,0.0529,0.157,0.2629,0.2968,-0.376124775,0.071428571,-0.196048632,0.40784604,0.419243136,0.40784604,-0.46570768,1.817197452,0.133574007,-0.108606956,-2390855,3870755
7,0.2396,0.0922,0.0615,0.0825,0.083907686,4.31E-07,6.14E-06,0.264,0.2559,0.183,0.1285,0.0584,0.1292,0.213,0.2389,-0.378531073,0.055523755,-0.025854879,0.44424352,0.380609065,0.44424352,-0.487736728,1.854489164,0.167118338,-0.133932797,-2390835,3870735
3,0.3086,0.0636,0.0477,0.069,0.20570719,1.37E-06,1.53E-05,0.3383,0.3295,0.2276,0.1342,0.0465,0.1209,0.2635,0.3121,-0.534726905,-0.040723982,-0.012738854,0.658248254,0.531276971,0.658248254,-0.634533898,2.552522746,0.310569106,-0.151063036,-2392545,3867055
2,0.4259,0.0447,0.0363,0.0662,0.14413294,2.10E-07,7.69E-06,0.4231,0.3893,0.2074,0.108,0.0358,0.1134,0.3174,0.3913,-0.516081871,-0.19386835,-0.006934813,0.810029749,0.717410416,0.810029749,-0.730948994,3.755731922,0.434535104,-0.345018159,-2392535,3866895
2,0.4442,0.0505,0.0395,0.0709,0.13490382,2.41E-07,5.95E-06,0.433,0.4094,0.2228,0.1236,0.0554,0.1183,0.3255,0.3974,-0.517194416,-0.168039539,0.167544784,0.79583586,0.730555843,0.79583586,-0.724713648,3.754860524,0.401658768,-0.331934033,-2392605,3866885
1,0.3724,0.0625,0.0497,0.0751,0.1049978,2.78E-07,6.71E-06,0.3614,0.3893,0.1978,0.1127,0.0395,0.111,0.2651,0.3314,-0.449615244,-0.091569767,-0.114349776,0.712577604,0.631797185,0.712577604,-0.664357542,3.354954955,0.279538905,-0.306208348,-2392565,3866875
1,0.3724,0.0625,0.0497,0.0751,0.1049978,2.78E-07,6.71E-06,0.3614,0.3893,0.1978,0.1127,0.0395,0.111,0.2651,0.3314,-0.449615244,-0.091569767,-0.114349776,0.712577604,0.631797185,0.712577604,-0.664357542,3.354954955,0.279538905,-0.306208348,-2392565,3866875
12,0.3849,0.0587,0.0509,0.0773,0.22589901,6.13E-07,1.17E-05,0.4047,0.3698,0.2256,0.1296,0.0552,0.1238,0.3065,0.3692,-0.489600528,-0.136764706,0.040527804,0.73534716,0.66665437,0.73534716,-0.665512765,3.10904685,0.356712329,-0.260933661,-2392535,3865755
3,0.39,0.0911,0.0598,0.0978,0.11295099,3.81E-07,5.58E-06,0.4043,0.3527,0.3102,0.2099,0.0728,0.1714,0.3247,0.3749,-0.520588235,-0.035468502,0.098039216,0.621284556,0.593978899,0.621284556,-0.59901599,2.27537923,0.305904762,-0.113967438,-2392385,3865305
5,0.2843,0.1098,0.0694,0.0985,0.10276099,2.51E-07,6.65E-06,0.2966,0.3655,0.2665,0.2095,0.0579,0.1698,0.2537,0.2837,-0.460273973,0.05424868,-0.090337785,0.44278102,0.422430761,0.44278102,-0.485370951,1.674322733,0.214592275,-0.03231663,-2392425,3865195
3,0.3833,0.1265,0.0874,0.1251,0.1565153,6.21E-07,7.76E-06,0.4093,0.3927,0.2823,0.1772,0.0561,0.1644,0.3239,0.3734,-0.385861561,0.005564388,-0.218118467,0.503726952,0.559422922,0.503726952,-0.507867821,2.331508516,0.130285321,-0.151742788,-2392455,3864025
1,0.3614,0.0369,0.0367,0.058,0.11986934,2.94E-07,7.89E-06,0.3887,0.3668,0.1712,0.0899,0.047,0.102,0.2828,0.3477,-0.493891798,-0.222339305,0.123058542,0.814712528,0.662766242,0.814712528,-0.723414402,3.543137255,0.468682505,-0.357116035,-2392395,3864185
3,0.4072,0.0668,0.0542,0.0948,0.09262958,4.55E-07,5.17E-06,0.4425,0.392,0.2897,0.1593,0.0544,0.1451,0.3422,0.4006,-0.506892068,-0.173267327,0.001841621,0.71814346,0.678701391,0.71814346,-0.622310757,2.806340455,0.369513922,-0.168603817,-2392375,3863885
3,0.3796,0.0776,0.0591,0.0949,0.16031003,8.14E-07,9.47E-06,0.4017,0.373,0.2807,0.1752,0.0767,0.1443,0.315,0.3715,-0.494675186,-0.100289855,0.129602356,0.660542432,0.621562823,0.660542432,-0.6,2.630630631,0.300585849,-0.149780403,-2392385,3863565
3,0.4239,0.0541,0.041,0.0871,0.08895232,1.16E-07,4.24E-06,0.4557,0.4494,0.2893,0.1519,0.0359,0.1453,0.3573,0.4167,-0.537194474,-0.233711048,-0.066319896,0.773640167,0.697883414,0.773640167,-0.659099804,2.917412251,0.457372116,-0.188726865,-2392595,3862555
12,0.3757,0.0742,0.0546,0.09,0.09137491,3.93E-07,5.20E-06,0.3842,0.3716,0.2372,0.1464,0.0488,0.1255,0.2924,0.3496,-0.449877751,-0.096224117,-0.056092843,0.670148922,0.612902083,0.670148922,-0.613485076,2.993625498,0.256885328,-0.225974874,-2392135,3862035
5,0.3378,0.1907,0.1368,0.1775,0.105298825,2.25E-07,5.15E-06,0.3913,0.3636,0.3188,0.2505,0.096,0.2411,0.3319,0.3685,-0.284706831,0.035850081,-0.175257732,0.27833491,0.449038462,0.27833491,-0.311080924,1.401078391,0.116720704,-0.028936948,-2392215,3862425
5,0.3011,0.1722,0.1068,0.1439,0.09089168,1.37E-07,5.62E-06,0.33,0.3501,0.3041,0.2235,0.0644,0.2121,0.277,0.3066,-0.357589286,0.08952863,-0.247663551,0.272343123,0.378627796,0.272343123,-0.353258427,1.41961339,0.103825137,0.004957039,-2392025,3861885
5,0.344,0.2391,0.1693,0.2193,0.13665956,2.30E-07,6.19E-06,0.3527,0.3207,0.3514,0.2783,0.0789,0.2704,0.3136,0.3383,-0.231470124,0.043193717,-0.364222401,0.179900532,0.411505451,0.179900532,-0.221374046,1.272189349,0.061432777,0.010641357,-2392095,3861945
